Name,Symbol
CSAM HEALTH GROUP,CSAM
CYVIZ,CYVIZ
DEEP VALUE DRILLER,DVD
DESERT CONTROL,DSRT
DLT,DLTX
DNB BANK,DNB
DNO,DNO
DOF,DOF
EAM SOLAR,EAM
ECIT AS B-AKSJER,ECIT
ECOONLINE HOLDING,ECO
EIDESVIK OFFSHORE,EIOF
ELECTROMAGNET GEO,EMGS
ELEKTROIMPORTØREN,ELIMP
ELKEM,ELK
ELLIPTIC LABORATOR,ELABS
ELOP,ELOP
ELOPAK,ELO
ENDÚR,ENDUR
ENSURGE MICROPOWER,ENSU
ENTRA,ENTRA
ENVIPCO HOLDING,ENVIP
EQUINOR,EQNR
EUROPRIS,EPR
EVERFUEL,EFUEL
EXACT THERAPEUTICS,EXTX
FJORDKRAFT HOLDING,FKRFT
FLEX LNG,FLNG
FLYR,FLYR
FRONTLINE,FRO
FRØY,FROY
GAMING INNOVATION,GIG
GC RIEBER SHIPPING,RISH
GENTIAN DIAGNOSTIC,GENT
GIGANTE SALMON,GIGA
GJENSIDIGE FORSIKR,GJF
GNP ENERGY,GNP
GOLDEN ENERGY OFF,GEOS
GOLDEN OCEAN GROUP,GOGL
GOODTECH,GOD
GREEN MINERALS,GEM
GRIEG SEAFOOD,GSF
GRONG SPAREBANK,GRONG
GYLDENDAL,GYL
HAFNIA LIMITED,HAFNI
HARMONYCHAIN,HMONY
HAV GROUP,HAV
HAVILA KYSTRUTEN,HKY
HAVILA SHIPPING,HAVI
HAVYARD GROUP,HYARD
HEXAGON COMPOSITES,HEX
HEXAGON PURUS,HPUR
HOFSETH BIOCARE,HBC
HORISONT ENERGI,HRGI
HOUSE OF CONTROL,HOC
HUDDLESTOCK FINTEC,HUDL
HUDDLY,HDLY
HUNTER GROUP,HUNT
HYDROGENPRO,HYPRO
HYNION,HYN
HØLAND OG SETSKOG,HSPG
ICE FISH FARM,IFISH
ICE GROUP,ICEGR
ICELANDIC SALMON,ISLAX
IDEX BIOMETRICS,IDEX
INDUCT,INDCT
INSR INSURANCE GP,INSR
INSTABANK,INSTA
INTEGRATED WIND SO,IWS
INTEROIL EXPL PROD,IOX
ITERA,ITERA
JINHUI SHIPP TRANS,JIN
JÆREN SPAREBANK,JAREN
KAHOOT!,KAHOT
KALERA,KAL
KID,KID
KITRON,KIT
KLAVENESS COMBINAT,KCC
KMC PROPERTIES,KMCP
KOMPLETT,KOMPL
KOMPLETT BANK,KOMP
KONGSBERG AUTOMOT,KOA
KONGSBERG GRUPPEN,KOG
KRAFT BANK,KRAB
KYOTO GROUP,KYOTO
LERØY SEAFOOD GP,LSG
LIFECARE,LIFE
LINK MOBILITY GRP,LINK
LYTIX BIOPHARMA,LYTIX
M VEST WATER,MVW
MAGNORA,MGN
MAGSEIS FAIRFIELD,MSEIS
MEDISTIM,MEDI
MELHUS SPAREBANK,MELG
MELTWATER,MWTR
MERCELL HOLDING,MRCEL
MINTRA HOLDING,MNTR
MOWI,MOWI
MPC CONTAINER SHIP,MPCC
MPC ENERGY SOLUTIO,MPCES
MULTICONSULT,MULTI
MÅSØVAL,MAS
NAPATECH,NAPA
NAVAMEDIC,NAVA
NEKKAR,NKR
NEL,NEL
NETOIL CAPITAL,NOC
NEXT BIOMETRICS GP,NEXT
NIDAROS SPAREBANK,NISB
NORBIT,NORBT
NORCOD,NCOD
NORDHEALTH A-AKSJE,NORDH
NORDIC AQUA PART,NOAP
NORDIC HALIBUT,NOHAL
NORDIC MINING,NOM
NORDIC NANOVECTOR,NANOV
NORDIC SEMICONDUC,NOD
NORDIC UNMANNED,NUMND
NORSE ATLANTIC,NORSE
NORSK HYDRO,NHY
NORSK SOLAR,NSOL
NORSK TITANIUM,NTI
NORSKE SKOG,NSKOG
NORTEL,NTEL
NORTH ENERGY,NORTH
NORTHERN DRILLING,NODL
NORTHERN OCEAN LTD,NOL
NORWAY ROYALSALMON,NRS
NORWEGIAN AIR SHUT,NAS
NORWEGIAN ENERGY,NOR
NRC GROUP,NRC
NTS,NTS
OBSERVE MEDICAL,OBSRV
OCEAN SUN,OSUN
OCEAN YIELD,OCY
OCEANTEAM,OTS
ODFJELL DRILLING,ODL
ODFJELL SER. A,ODF
ODFJELL SER. B,ODFB
OKEA,OKEA
OKEANIS ECO TANKER,OET
OLAV THON EIENDOMS,OLT
ORKLA,ORK
OTELLO CORPORATION,OTEC
OTOVO,OTOVO
PANORO ENERGY,PEN
PARETO BANK,PARB
PATIENTSKY GROUP,PSKY
PCI BIOTECH HOLD,PCIB
PETROLIA,PSE
PETRONOR E&P LTD,PNOR
PEXIP HOLDING,PEXIP
PGS,PGS
PHILLY SHIPYARD,PHLY
PHOTOCURE,PHO
PIONEER PROPERTY,PPG
PLAY MAGNUS,PMG
POLARIS MEDIA,POL
POLIGHT,PLT
PROSAFE,PRS
PROTECTOR FORSIKRG,PROT
PROXIMAR SEAFOOD,PROXI
PRYME,PRYME
PYRUM INNOVATIONS,PYRUM
Q-FREE,QFR
QUANTAFUEL,QFUEL
QUESTBACK GROUP,QUEST
QUESTERRE ENERGY,QEC
R8 PROPERTY,R8P
RAK PETROLEUM,RAKP
RANA GRUBER,RANA
REACH SUBSEA,REACH
REC SILICON,RECSI
RIVER TECH,RIVER
ROMERIKE SPAREBK,ROMER
ROMREAL,ROM
ROMSDAL SPAREBANK,ROMSB
SAGA PURE,SAGA
SALMAR,SALM
SALMON EVOLUTION,SALME
SALMONES CAMANCH,SACAM
SANDNES SPAREBANK,SADG
SAS AB,SASNO
SATS,SATS
SBANKEN,SBANK
SCANA,SCANA
SCATEC,SCATC
SCHIBSTED SER. A,SCHA
SCHIBSTED SER. B,SCHB
SD STAND DRILLING,SDSD
SEABIRD EXPLORAT,GEG
SEADRILL,SDRL
SEAWAY 7,SEAW7
SELF STORAGE GROUP,SSG
SELVAAG BOLIG,SBO
SHELF DRILLING,SHLF
SIEM OFFSHORE,SIOFF
SIKRI HOLDING,SIKRI
SKANDIA GREENPOWER,SKAND
SKITUDE HOLDING,SKI
SKUE SPAREBANK,SKUE
SMARTCRAFT,SMCRT
SMARTOPTICS GROUP,SMOP
SOFTOX SOLUTIONS,SOFTX
SOGN SPAREBANK,SOGN
SOLON EIENDOM,SOLON
SOLSTAD OFFSHORE,SOFF
SONANS HOLDING,SOHO
SPARBNK 68 GR NORD,SB68
SPAREBANK 1 SMN,MING
SPAREBANK 1 SR-BK,SRBNK
SPAREBANK 1 SØRØ,SOON
SPAREBANKEN MØRE,MORG
SPAREBANKEN SØR,SOR
SPAREBANKEN VEST,SVEG
SPAREBANKEN ØST,SPOG
SPBK 1 NORDMØRE,SNOR
SPBK 1 ØSTLANDET,SPOL
SPBK1 HELGELAND,HELG
SPBK1 NORD-NORGE,NONG
SPBK1 RINGERIKE,RING
SPBK1 ØSTFOLD AKE,SOAG
STATT TORSK,STATT
STOLT-NIELSEN,SNI
STOREBRAND,STB
STRONGPOINT,STRO
SUBSEA 7,SUBC
SUNNDAL SPAREBANK,SUNSB
TARGOVAX,TRVX
TECHSTEP,TECH
TECO 2030,TECO
TEKNA HOLDING,TEKNA
TELENOR,TEL
TGS,TGS
THE KINGFISH COMP,KING
TIETOEVRY,TIETO
TOMRA SYSTEMS,TOM
TOTENS SPAREBANK,TOTG
TREASURE,TRE
TYSNES SPAREBANK,TYSB
ULTIMOVACS,ULTI
VACCIBODY,VACC
VEIDEKKE,VEI
VISTIN PHARMA,VISTN
VOLUE,VOLUE
VOSS VEKSEL OGLAND,VVL
VOW,VOW
VOW GREEN METALS,VGM
WALLENIUS WILHELMS,WAWI
WEBSTEP,WSTEP
WESTERN BULK CHART,WEST
WILH. WILHELMSEN A,WWI
WILH. WILHELMSEN B,WWIB
WILSON,WILS
XPLORA TECHNOLOGIE,XPLRA
XXL,XXL
YARA INTERNATIONAL,YAR
ZALARIS,ZAL
ZAPTEC,ZAP
ZENITH ENERGY,ZENA
ZWIPE,ZWIPE
ØRN SOFTWARE HLD.,ORN
